구,법정동,공원명,공원구분,소재지지번주소,위도,경도,공원면적,공원면적분류
도봉구,도봉동,새동네,어린이공원,서울특별시 도봉구 도봉동 289-5,37.6889748,127.0431725,1289,2400
도봉구,도봉동,서울 창포원,기타,서울특별시 도봉구 도봉동 4,37.6892727,127.0475814,51486,9000000
도봉구,도봉동,도봉산역 만남의광장,기타,서울특별시 도봉구 도봉동 41,37.6882419,127.0467981,5271,9000000
도봉구,도봉동,무수골 소공원,소공원,서울특별시 도봉구 도봉동 429-3,37.67844303,127.0389233,854,1183
도봉구,도봉동,무수울 소공원,소공원,서울특별시 도봉구 도봉동 470,37.6778355,127.0338381,161,766
도봉구,도봉동,무지개,어린이공원,서울특별시 도봉구 도봉동 570-13,37.6856475,127.0450237,921,1183
도봉구,도봉동,서 원,어린이공원,서울특별시 도봉구 도봉동 576-13,37.6838254,127.0433093,921,1183
도봉구,도봉동,무 수,어린이공원,서울특별시 도봉구 도봉동 585-2,37.6806313,127.0427453,1003,1183
도봉구,도봉동,해 태,어린이공원,서울특별시 도봉구 도봉동 614-37,37.6720052,127.0412072,962,1183
도봉구,도봉동,갈대밭,어린이공원,서울특별시 도봉구 도봉동 625-123,37.6743303,127.0458103,973,1183
도봉구,도봉동,서울북부지방검찰청주변녹지,기타,서울특별시 도봉구 도봉동 626-22,37.6756414,127.0466808,314,766
도봉구,도봉동,도봉동,기타,서울특별시 도봉구 도봉동 630-1,37.6768238,127.0490433,316,766
도봉구,도봉동,도봉동(2),기타,서울특별시 도봉구 도봉동 638-1,37.6862776,127.0408206,1583,2400
도봉구,도봉동,누 원,어린이공원,서울특별시 도봉구 도봉동 653,37.6803963,127.0500458,1515,2400
도봉구,도봉동,다락원 체육공원,체육공원,서울특별시 도봉구 도봉동 8번지,37.69077285,127.0465624,49830,9000000
도봉구,도봉동,북한산 국립공원,기타,서울특별시 도봉구 도봉동 산29-2,37.6920803,127.0312043,8703000,9000000
도봉구,방학동,방학동,기타,서울특별시 도봉구 방학동 265-4,37.661482,127.0371404,203,766
도봉구,방학동,방 학,어린이공원,서울특별시 도봉구 방학동 304-20,37.6631059,127.0322622,305,766
도봉구,방학동,방학동,기타,서울특별시 도봉구 방학동 306-24,37.6633231,127.0292778,874,1183
도봉구,방학동,방학동 가로공원,기타,서울특별시 도봉구 방학동 443,37.6634352,127.0276147,735,766
도봉구,방학동,발바닥공원,기타,서울특별시 도봉구 방학동 490-8,37.6591413,127.0279921,13879,9000000
도봉구,방학동,원당샘공원,기타,서울특별시 도봉구 방학동 547,37.6607526,127.0220787,4671,9000000
도봉구,방학동,샘 말,어린이공원,서울특별시 도봉구 방학동 611-5,37.6684889,127.0315749,1085,1183
도봉구,방학동,개나리,어린이공원,서울특별시 도봉구 방학동 638-12,37.6673406,127.0371512,960,1183
도봉구,방학동,생잇들,어린이공원,서울특별시 도봉구 방학동 644-28,37.6689795,127.039176,970,1183
도봉구,방학동,무궁화,어린이공원,서울특별시 도봉구 방학동 655-31,37.6678419,127.0421955,1003,1183
도봉구,방학동,뒷 말,어린이공원,서울특별시 도봉구 방학동 663,37.6637475,127.0336461,1000,1183
도봉구,방학동,방학사계광장,기타,서울특별시 도봉구 방학동 678,37.6624333,127.0418448,15780,9000000
도봉구,방학동,사 슴,어린이공원,서울특별시 도봉구 방학동 681-13,37.6644567,127.041749,970,1183
도봉구,방학동,소 망,어린이공원,서울특별시 도봉구 방학동 694-9,37.6635246,127.0369361,973,1183
